ObsID,CCDColour,Map_Sample_Offset,Map_Line_Offset,CoReg_Sample_Offset,CoReg_Line_Offset,NSAMPLES,NLINES,L_s,Threshold
ESP_011350_0945,RED,9671,17546,0,0,1954,1062,,
ESP_011351_0945,RED,33245,40040,249,-26,1954,1062,,
ESP_011403_0945,RED,16217,18902,77,5,1954,1062,,
ESP_011931_0945,RED,11817,13821,233,22,1954,1062,,
ESP_012063_0945,RED,9414,9566,259,21,1954,1062,,
ESP_012076_0945,RED,9153,9662,220,32,1954,1062,,
ESP_012643_0945,RED,9186,9845,260,75,1954,1062,,
ESP_013487_0945,RED,8616,8518,299,89,1954,1062,,
PSP_002622_0945,RED,14236,17889,248,60,1954,1062,185.097,0.0105
PSP_002675_0945,RED,25287,29253,316,34,1954,1062,187.467,0.0112
PSP_002820_0945,RED,27569,33258,326,39,1954,1062,194.034,0.0215
PSP_003176_0945,RED,9520,9753,278,32,1954,1062,210.623,0.05
PSP_003308_0945,RED,11795,11928,303,21,1954,1062,216.925,0.061
PSP_003309_0945,RED,14110,10097,436,-67,1954,1062,216.973,0.057
PSP_003453_0945,RED,12763,13427,307,28,1954,1062,223.925,0.084
PSP_003466_0945,RED,10839,12020,257,44,1954,1062,224.557,0.083
PSP_003677_0945,RED,14634,17504,284,37,1954,1062,234.868,0.097
PSP_003730_0945,RED,11585,11456,311,41,1954,1062,237.474,0.103
PSP_003756_0945,RED,9004,9381,245,52,1954,1062,238.754,0.108
PSP_003822_0945,RED,11925,13991,266,52,1954,1062,242.008,0.111
PSP_004033_0945,RED,14813,18094,268,32,1954,1062,252.437,0.122
PSP_004178_0945,RED,9710,10596,260,25,1954,1062,259.603,
PSP_004666_0945,RED,11229,13610,315,106,1954,1062,283.449,
PSP_004891_0945,RED,15044,11943,470,75,1954,1062,294.181,
