ObsID,CCDColour,Map_Sample_Offset,Map_Line_Offset,CoReg_Sample_Offset,CoReg_Line_Offset,NSAMPLES,NLINES,L_s,Threshold
B04_011267_0983,XN,4821,1855,,,,,,
B05_011412_0985,XI,4500,2863,,,,,,
B05_011491_0985,XI,4786,3072,,,,,,
B05_011557_0985,XI,4553,2929,,,,,,
B05_011623_0985,XI,4603,2856,,,,,,
B05_011702_0985,XI,4568,3017,,,,,,
B06_011913_0985,XI,4240,2949,,,,,,
B06_011979_0985,XI,4070,2847,,,,,,
B07_012322_0985,XI,4705,2737,,,,,,
B07_012480_0985,XI,4513,2989,,,,,,
B08_012625_0985,XI,4821,3122,,,,,,
B08_012678_0983,XI,5758,2850,,,,,,
B08_012691_0985,XI,4826,3021,,,,,,
B08_012757_0983,XI,5524,3015,,,,,,
B08_012889_0985,XI,4673,2748,,,,,,
B09_012981_0983,XI,5263,3259,,,,,,
B09_013100_0985,XI,4247,2689,,,,,,
B09_013245_0985,XI,5093,2786,,,,,,
B10_013456_0984,XI,5826,2826,,,,,,
B10_013535_0985,XN,5064,2475,,,,,,
B10_013601_0985,XI,4490,2783,,,,,,
B11_013759_0983,XI,5347,3243,,,,,,
B11_013812_0985,XI,4375,2739,,,,,,
B11_013891_0985,XI,4431,2812,,,,,,
B11_013957_0985,XI,4490,2782,,,,,,
P03_002380_0983,XI,5626,2609,,,,,,
P04_002446_0983,XI,6609,1753,,,,,,
P04_002525_0985,XN,5115,3612,,,,,,
P04_002591_0984,XN,5426,858,,,,,,
P04_002657_0985,XI,7909,2143,,,,,,
P05_002802_0984,XI,6128,2361,,,,,,
P05_002868_0984,XI,6343,2553,,,,,,
P05_003092_0983,XI,5856,2686,,,,,,
P05_003158_0984,XI,5919,2625,,,,,,
P06_003237_0983,XI,5767,2745,,,,,,
P06_003382_0984,XI,6683,3450,,,,,,
P06_003448_0984,XI,6638,2870,,,,,,
P06_003514_0985,XI,8425,2948,,,,,,
P07_003580_0983,XI,4863,2872,,,,,,
P07_003659_0984,XI,6175,3341,,,,,,
P07_003725_0984,XN,7443,2274,,,,,,
P07_003804_0984,XI,7502,3064,,,,,,
P07_003928_0816,XI,7508,6654,,,,,,
P07_003936_0983,XN,6491,1431,,,,,,
P08_004147_0985,XI,7505,2851,,,,,,
P08_004226_0984,XI,8079,3195,,,,,,
P08_004292_0984,XN,-6236,1163,,,,,,
P09_004358_0984,XI,8308,2481,,,,,,
P09_004371_0984,XI,8651,3279,,,,,,
P09_004424_0985,XI,8177,2461,,,,,,
P09_004437_0983,XI,6285,2875,,,,,,
P09_004503_0984,XI,7179,2856,,,,,,
P09_004714_0986,XI,10921,3141,,,,,,
P10_004780_0986,XI,11329,2506,,,,,,
P10_004859_0966,XN,7409,3228,,,,,,
P10_004938_0985,XI,8606,3474,,,,,,
P10_005004_0989,XI,18228,4797,,,,,,
P10_005070_0985,XI,11069,3232,,,,,,
P11_005281_0986,XI,10404,3077,,,,,,
P11_005426_0984,XI,6726,2798,,,,,,
P12_005848_0985,XI,11061,3146,,,,,,
P13_005993_0983,XI,6230,2723,,,,,,
P13_006204_0986,XN,15679,2586,,,,,,
