ObsID,CCDColour,Map_Sample_Offset,Map_Line_Offset,CoReg_Sample_Offset,CoReg_Line_Offset,NSAMPLES,NLINES,L_s,Threshold
B04_011267_0983,XN,5400,1980,,,,,,
B05_011412_0985,XI,5038,3225,,,,,,
B05_011491_0985,XI,5386,3480,,,,,,
B05_011557_0985,XI,5116,3314,,,,,,
B05_011623_0985,XI,5174,3223,,,,,,
B05_011702_0985,XI,5111,3406,,,,,,
B06_011913_0985,XI,4684,3304,,,,,,
B06_011979_0985,XI,4478,3181,,,,,,
B07_012322_0985,XI,5299,3076,,,,,,
B07_012480_0985,XI,5061,3385,,,,,,
B08_012625_0985,XI,5391,3517,,,,,,
B08_012678_0983,XI,6528,3185,,,,,,
B08_012691_0985,XI,5396,3393,,,,,,
B08_012757_0983,XI,6232,3378,,,,,,
B08_012889_0985,XI,5207,3060,,,,,,
B09_012981_0983,XI,5934,3686,,,,,,
B09_013100_0985,XI,4735,3016,,,,,,
B09_013245_0985,XI,5788,3144,,,,,,
B10_013456_0984,XI,6610,3155,,,,,,
B10_013535_0985,XN,5679,2726,,,,,,
B10_013601_0985,XI,4983,3101,,,,,,
B11_013759_0983,XI,6038,3669,,,,,,
B11_013812_0985,XI,4881,3070,,,,,,
B11_013891_0985,XI,4971,3173,,,,,,
B11_013957_0985,XI,5054,3143,,,,,,
P03_002380_0983,XI,6403,2908,,,,,,
P04_002446_0983,XI,7599,1861,,,,,,
P04_002525_0985,XN,5764,4123,,,,,,
P04_002591_0984,XN,6144,768,,,,,,
P04_002657_0985,XI,9170,2333,,,,,,
P05_002802_0984,XI,7018,2606,,,,,,
P05_002868_0984,XI,7268,2836,,,,,,
P05_003092_0983,XI,6688,3004,,,,,,
P05_003158_0984,XI,6766,2931,,,,,,
P06_003237_0983,XI,6570,3072,,,,,,
P06_003382_0984,XI,7667,3923,,,,,,
P06_003448_0984,XI,7628,3223,,,,,,
P06_003514_0985,XI,9801,3316,,,,,,
P07_003580_0983,XI,5472,3229,,,,,,
P07_003659_0984,XI,7073,3802,,,,,,
P07_003725_0984,XN,8625,2501,,,,,,
P07_003804_0984,XI,8695,3464,,,,,,
P07_003928_0816,XI,8664,7813,,,,,,
P07_003936_0983,XN,7449,1468,,,,,,
P08_004147_0985,XI,8706,3208,,,,,,
P08_004226_0984,XI,9402,3625,,,,,,
P08_004292_0984,XN,-8079,1142,,,,,,
P09_004358_0984,XI,9689,2755,,,,,,
P09_004371_0984,XI,10093,3725,,,,,,
P09_004424_0985,XI,9503,2723,,,,,,
P09_004437_0983,XI,7207,3233,,,,,,
P09_004503_0984,XI,8301,3209,,,,,,
P09_004714_0986,XI,12829,3547,,,,,,
P10_004780_0986,XI,13338,2776,,,,,,
P10_004859_0966,XN,8639,3689,,,,,,
P10_004938_0985,XI,10048,3967,,,,,,
P10_005004_0989,XI,21879,5602,,,,,,
P10_005070_0985,XI,13100,3683,,,,,,
P11_005281_0986,XI,12235,3479,,,,,,
P11_005426_0984,XI,7704,3122,,,,,,
P12_005848_0985,XI,13119,3585,,,,,,
P13_005993_0983,XI,7159,3056,,,,,,
P13_006204_0986,XN,18550,2860,,,,,,
