ObsID,CCDColour,Map_Sample_Offset,Map_Line_Offset,CoReg_Sample_Offset,CoReg_Line_Offset,NSAMPLES,NLINES
ESP_011544_0985,RED,7463,19288,,,977,531
ESP_011728_0985,RED,5995,25102,,,977,531
ESP_011729_0985,RED,13583,24511,,,977,531
ESP_011900_0985,RED,3787,9515,,,977,531
ESP_012256_0985,RED,5058,13870,,,977,531
ESP_012467_0985,RED,3171,8271,,,977,531
ESP_012744_0985,RED,5025,12632,,,977,531
ESP_013034_0985,RED,8092,21602,,,977,531
ESP_013113_0985,RED,9313,26950,,,977,531
PSP_002380_0985,RED,8255,22316,,,977,531
PSP_002868_0985,RED,10665,26726,,,977,531
PSP_003092_0985,RED,6849,18426,,,977,531
PSP_003158_0985,RED,7443,19801,,,977,531
PSP_003237_0985,RED,10815,32304,,,977,531
PSP_003448_0985,RED,8048,22769,,,977,531
PSP_003593_0985,RED,10413,31912,,,977,531
PSP_003804_0985,RED,6424,16927,,,977,531
PSP_004081_0985,RED,7635,20777,,,977,531
PSP_004714_0985,RED,7342,19699,,,977,531
PSP_004925_0985,RED,11922,31633,,,977,531
PSP_005070_0985,RED,3895,10150,,,977,531
PSP_005281_0985,RED,3736,9522,,,977,531
PSP_005426_0985,RED,11883,33860,,,977,531
PSP_005993_0985,RED,13283,38234,,,977,531
