ObsID,CCDColour,Map_Sample_Offset,Map_Line_Offset,CoReg_Sample_Offset,CoReg_Line_Offset,NSAMPLES,NLINES,L_s,Threshold
B04_011267_0983,XN,5736,1577,,,,,,
B08_012678_0983,XI,6863,2783,,,,,,
B08_012757_0983,XI,6566,2977,,,,,,
B09_012981_0983,XI,6270,3283,,,,,,
B11_013759_0983,XI,6374,3266,,,,,,
P03_002380_0983,XI,6740,2504,,,,,,
P04_002446_0983,XI,7936,1457,,,,,,
P05_003092_0983,XI,7025,2600,,,,,,
P06_003237_0983,XI,6907,2668,,,,,,
P07_003580_0983,XI,5809,2825,,,,,,
P07_003936_0983,XN,7786,1065,,,,,,
P09_004437_0983,XI,7544,2828,,,,,,
P13_005993_0983,XI,7497,2650,,,,,,
